n,Egb,dx,dy,rx,ry,T,steps,f
0.94,0.967,2.47,1.49,3,3,600,3000,lammps_0.967_0.94_2.47_1.49_3_3_600_3000
0.44,0.967,2.3,0.07,2,4,500,31000,lammps_0.967_0.44_2.30_0.07_2_4_500_31000
0.83,0.967,1.22,2.54,3,5,500,33000,lammps_0.967_0.83_1.22_2.54_3_5_500_33000
0.42,0.967,1.54,0.67,2,6,400,12000,lammps_0.967_0.42_1.54_0.67_2_6_400_12000
0.81,0.967,5.1,0.2,3,7,900,59000,lammps_0.967_0.81_5.10_0.20_3_7_900_59000
0.38,0.967,5.24,0.36,1,12,800,12000,lammps_0.967_0.38_5.24_0.36_1_12_800_12000
0.39,0.967,6.28,0.01,1,14,500,16000,lammps_0.967_0.39_6.28_0.01_1_14_500_16000
0.07,0.967,3.6,0.56,2,7,800,6000,lammps_0.967_0.07_3.60_0.56_2_7_800_6000
0.08,0.967,1.19,0.25,3,2,400,4000,lammps_0.967_0.08_1.19_0.25_3_2_400_4000
0.32,0.967,3.54,2.28,1,14,500,17000,lammps_0.967_0.32_3.54_2.28_1_14_500_17000
0.33,0.967,7.35,0.82,1,12,300,161000,lammps_0.967_0.33_7.35_0.82_1_12_300_161000
0.06,0.967,1.13,3.41,3,6,600,73000,lammps_0.967_0.06_1.13_3.41_3_6_600_73000
0.35,0.967,0.34,2.2,1,10,300,189000,lammps_0.967_0.35_0.34_2.20_1_10_300_189000
0.36,0.967,3.92,3.14,1,11,700,135000,lammps_0.967_0.36_3.92_3.14_1_11_700_135000
0.37,0.967,3.76,0.57,1,15,700,77000,lammps_0.967_0.37_3.76_0.57_1_15_700_77000
0.34,0.967,6.94,1.06,2,11,500,250000,lammps_0.967_0.34_6.94_1.06_2_11_500_250000
0.95,0.968,6.92,3.54,4,5,400,209000,lammps_0.968_0.95_6.92_3.54_4_5_400_209000
0.94,0.968,2.58,0.18,4,6,1000,0,lammps_0.968_0.94_2.58_0.18_4_6_1000_0
0.91,0.968,4.41,0.83,4,7,400,143000,lammps_0.968_0.91_4.41_0.83_4_7_400_143000
0.88,0.968,0.16,1.26,2,4,900,10000,lammps_0.968_0.88_0.16_1.26_2_4_900_10000
0.85,0.968,1.94,3.17,4,5,400,29000,lammps_0.968_0.85_1.94_3.17_4_5_400_29000
0.83,0.968,6.73,0.28,3,5,600,41000,lammps_0.968_0.83_6.73_0.28_3_5_600_41000
0.82,0.968,2.35,3.01,2,7,300,2000,lammps_0.968_0.82_2.35_3.01_2_7_300_2000
0.8,0.968,7.33,2.98,4,7,400,81000,lammps_0.968_0.80_7.33_2.98_4_7_400_81000
0.77,0.968,6.85,2.98,3,5,300,177000,lammps_0.968_0.77_6.85_2.98_3_5_300_177000
0.54,0.968,1.51,3.5,1,12,400,4000,lammps_0.968_0.54_1.51_3.50_1_12_400_4000
0.56,0.968,7.95,3.15,2,8,1200,0,lammps_0.968_0.56_7.95_3.15_2_8_1200_0
0.5,0.968,2.57,2.54,2,8,400,160000,lammps_0.968_0.50_2.57_2.54_2_8_400_160000
0.52,0.968,5.57,0.36,2,12,400,10000,lammps_0.968_0.52_5.57_0.36_2_12_400_10000
0.07,0.968,0.21,0.35,1,7,500,15000,lammps_0.968_0.07_0.21_0.35_1_7_500_15000
0.33,0.968,5.69,0.04,1,12,1000,0,lammps_0.968_0.33_5.69_0.04_1_12_1000_0
0.35,0.968,7.69,3.09,1,10,500,3000,lammps_0.968_0.35_7.69_3.09_1_10_500_3000
0.32,0.968,0.01,0.7,1,11,500,28000,lammps_0.968_0.32_0.01_0.70_1_11_500_28000
0.4,0.968,2.6,0.48,2,10,700,74000,lammps_0.968_0.40_2.60_0.48_2_10_700_74000
0.42,0.968,4.43,1.66,1,13,1300,0,lammps_0.968_0.42_4.43_1.66_1_13_1300_0
0.43,0.968,2.98,0.88,2,7,700,60000,lammps_0.968_0.43_2.98_0.88_2_7_700_60000
0.47,0.968,4.85,2.58,2,9,600,11000,lammps_0.968_0.47_4.85_2.58_2_9_600_11000
0.36,0.968,1.91,2.95,2,7,600,234000,lammps_0.968_0.36_1.91_2.95_2_7_600_234000
0.77,0.969,4.16,0.41,3,5,600,54000,lammps_0.969_0.77_4.16_0.41_3_5_600_54000
0.5,0.969,1.37,1.42,4,2,900,1000,lammps_0.969_0.50_1.37_1.42_4_2_900_1000
0.96,0.969,2.87,2.05,3,4,300,4000,lammps_0.969_0.96_2.87_2.05_3_4_300_4000
0.53,0.969,2.88,0.81,2,9,700,11000,lammps_0.969_0.53_2.88_0.81_2_9_700_11000
0.56,0.969,1.53,0.22,2,4,400,13000,lammps_0.969_0.56_1.53_0.22_2_4_400_13000
0.78,0.969,2.05,0.74,4,5,300,25000,lammps_0.969_0.78_2.05_0.74_4_5_300_25000
